,ticker,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
108,COO,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,NA
109,COP,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,8549,NA
110,COST,NA,NA,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028,29028
111,CPB,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663
112,CPRT,NA,NA,NA,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901,29901
113,CPT,NA,NA,NA,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,28629,NA
114,CRL,NA,NA,NA,NA,NA,NA,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,137131,NA
115,CRM,NA,NA,NA,NA,NA,NA,NA,NA,NA,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,157855,NA
116,CSCO,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779,20779
117,CSX,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574,NA
118,CTAS,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,NA
119,CTLT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20228,20228,20228,20228,20228,20228,20228,20228,20228,20228,20228,20228,20228
120,CTRA,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,20548,NA
121,CTSH,NA,NA,NA,NA,NA,NA,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,111864,NA
122,CTVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35168,35168,35168,35168,35168,35168,35168,NA
123,CTXS,NA,NA,NA,NA,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,61676,NA
124,CVS,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,7241,NA
125,CVX,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,NA
126,CZR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21808,21808,21808,21808,21808,21808,21808,21808,NA
127,D,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,NA
128,DAL,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,NA
